97|致命ID|1297192|8.5|2003|0|0 8 10
98|真爱至上|1292401|8.5|2003|0 4|0 1 2
99|菊次郎的夏天|1293359|8.7|1999|7|0 2
100|超脱|5322596|8.7|2011|0|0
101|禁闭岛|2334904|8.5|2010|0|0 8 10
102|电锯惊魂|1417598|8.6|2004|0 9|3 8 10
103|幸福终点站|1292274|8.6|2004|0|0 1 2
104|摩登时代|1294371|9.1|1936|0|0 1 2
105|猜火车|1292528|8.5|1996|4|0 3
106|神偷奶爸|3287562|8.5|2010|0|2 7 13
107|借东西的小人阿莉埃蒂|4202302|8.7|2010|7|4 5 7
108|东邪西毒|1292328|8.5|1994|3 9|0 1 6 13
109|穿越时空的少女|1937946|8.7|2006|7|0 1 7 11
110|岁月神偷|3792799|8.6|2010|1 3|0 9
111|魂断蓝桥|1293964|8.8|1940|0|0 1 12
112|雨人|1291870|8.6|1988|0|0
113|贫民窟的百万富翁|2209573|8.5|2008|0 4|0 1
114|七武士|1295399|9.1|1954|7|0 4 6
115|断背山|1418834|8.5|2005|0 9|0 1 9 13
116|恋恋笔记本|1309163|8.5|2004|0|0 1
117|记忆碎片|1304447|8.5|2000|0|0 3 8 10
118|谍影重重3|1578507|8.7|2007|0 6|4 6 8
119|猫鼠游戏|1305487|8.6|2002|0 9|0 3 13
120|怪兽电力公司|1291579|8.5|2001|0|2 5 7 13
121|倩女幽魂|1297447|8.5|1987|3|0 1 13
122|卢旺达饭店|1291822|8.8|2004|0 2 4 9|0 12 13
123|秒速5厘米|2043546|8.5|2007|7|0 1 7
124|我是山姆|1306861|8.8|2001|0|0 9
125|雨中曲|1293460|8.9|1952|0|1 2 13
126|玩具总动员3|1858711|8.8|2010|0|2 4 5 7
127|碧海蓝天|1300960|8.7|1988|0 2 5|0 1
128|人工智能|1302827|8.6|2001|0|0 4 11
129|疯狂原始人|1907966|8.8|2013|0|2 4 7
130|穿条纹睡衣的男孩|3008247|8.8|2008|0 4|0 12
131|撞车|1388216|8.6|2004|0 6|0 3
132|海盗电台|3007773|8.7|2009|4 5 6|0 2 13
133|教父3|1294240|8.7|1990|0|0 3
134|香水|1760622|8.4|2006|0 5 6 9|0 3 5
135|辩护人|21937445|9.1|2013|9|0
136|傲慢与偏见|1418200|8.4|2005|0 4 5|0 1
137|纵横四海|1295409|8.7|1991|3|0 2 3 6
138|英雄本色|1297574|8.7|1986|3|0 3 6
139|冰川时代|1291578|8.4|2002|0|2 4 7
140|完美的世界|1300992|9.0|1993|0|0 3
141|哈利·波特与魔法石|1295038|8.5|2001|0 4|4 5
142|迁徙的鸟|1292281|9.1|2001|2 5 6 9|13
143|浪潮|2297265|8.7|2008|6|0
144|杀人回忆|1300299|8.5|2003|9|0 3 8 10
145|荒野生存|1905462|8.7|2007|0|0 4 13
146|末代皇帝|1293172|8.6|1987|1 2 4 5|0 13
147|黑天鹅|1978709|8.5|2010|0|0 10
148|可可西里|1308857|8.6|2004|1 3|0
149|狩猎|6985810|9.0|2012|9|0
150|梦之安魂曲|1292270|8.7|2000|0|0
151|喜宴|1303037|8.7|1993|0 9|0 1 2 9 13
152|追随|1397546|9.0|1998|4|3 8 10
153|控方证人|1296141|9.5|1957|0|0 3 8
154|朗读者|2213597|8.4|2008|0 6|0 1
155|战争之王|1419936|8.5|2005|0 5|0 3
156|燕尾蝶|1307793|8.7|1996|7|0 3
157|罗生门|1291879|8.7|1950|7|0 3 8
158|一次别离|5964718|8.7|2011|9|0 9
159|绿里奇迹|1300374|8.7|1999|0|0 3 5 8
160|素媛|21937452|9.0|2013|9|0 9
161|红辣椒|1865703|8.7|2006|7|7 8 10 11
162|叫我第一名|4798888|8.7|2008|0|0 13
163|萤火之森|5989818|8.8|2011|7|0 1 5 7
164|勇闯夺命岛|1292728|8.5|1996|0|4 6
165|卡萨布兰卡|1296753|8.6|1942|0|0 1 12
166|英国病人|1291853|8.4|1996|0 4|0 1 12
167|地球上的星星|2363506|8.8|2007|9|0 9
168|穆赫兰道|1292217|8.4|2001|0 5|0 8 10
169|两小无猜|1308817|8.2|2003|5 9|0 1 2
170|E.T. 外星人|1294638|8.5|1982|0|0 4 5 11
171|哈利·波特与死亡圣器(下)|3011235|8.6|2011|0 4|0 4 5 8
172|谍影重重|1304102|8.4|2002|0 6 9|4 6 8
173|变脸|1292659|8.4|1997|0|3 6
174|曾经|2053515|8.4|2006|9|0 1 13
175|惊魂记|1293181|8.8|1960|0|8 10 13
176|上帝也疯狂|1297478|8.6|1980|9|2
177|谍影重重2|1308767|8.5|2004|0 6|4 6 8
178|阿飞正传|1305690|8.5|1990|3|0 1 3
179|发条橙|1292233|8.4|1971|0 4|0 3 11
180|巴黎淘气帮|3157605|8.6|2009|5 9|2 9 13
181|蓝色大门|1308575|8.3|2002|5 9|0 1 13
